fid,cleabs,code_hydrographique,nature,toponyme,statut_du_toponyme,importance,date_creation,date_modification,date_d_apparition,date_de_confirmation,sources,identifiants_sources,statut,influence_de_la_maree,caractere_permanent,altitude_moyenne,referentiel_de_l_altitude_moyenne,mode_d_obtention_de_l_altitude_moy,precision_de_l_altitude_moyenne,hauteur_d_eau_maximale,mode_d_obtention_de_la_hauteur,commentaire_sur_l_objet_hydro
"276",PLANDEAU0000002000779153,06P0000002000779153,,Étang de Canet ou de Saint-Nazaire,Validé,"3",2017/01/24 16:06:18,2021/01/31 22:58:36,,,,,Validé,,,,,,,,,
"277",PLANDEAU0000002000779154,06P0000002000779154,,Étang des Capellans,Collecté,"3",2017/01/24 16:06:18,2021/01/31 22:58:36,,,,,Validé,,,,,,,,,
"278",PLANDEAU0000002002685163,06P0000002002685163,Retenue,Anse du Paurel,Validé,"4",2017/03/15 09:48:38,2021/01/31 22:58:36,,,,,Validé,,vrai,,,,,,,
"279",PLANDEAU0000002006071240,06P0000002006071240,Lac,Lac du Sesquier,Collecté,"6",2017/10/13 17:21:27,2018/03/16 13:12:41,,,,,Validé,,vrai,,,,,,,
"280",PLANDEAU0000000012529335,06P0000000012529335,Lac,Étang des Aigrettes,Validé,"5",2006/08/16 15:05:26,2019/10/14 11:07:58,,,,,Validé,,faux,,,,,,,
"281",PLANDEAU0000000067336705,06P0000000067336705,Lac,Lac de Thuy,Validé,"5",2007/03/27 07:54:42,2020/09/15 22:53:12,,,,,Validé,,vrai,,,,,,,
"282",PLANDEAU0000002000776973,06P0000002000776973,,Lac d'Annecy,Validé,"3",2017/01/24 16:06:18,2021/01/31 22:58:36,,,,,Validé,,,,,,,,,
"283",PLANDEAU0000002000777169,06P0000002000777169,,Lacs de Chevelu,Collecté,"3",2017/01/24 16:06:18,2021/01/31 22:58:36,,,,,Validé,,,,,,,,,
"284",PLANDEAU0000002000777170,06P0000002000777170,,Lacs de Chevelu,Validé,"3",2017/01/24 16:06:18,2019/06/03 19:49:11,,,,,Validé,,,,,,,,,
"285",PLANDEAU0000002000777191,06P0000002000777191,,Lac du Bourget,Collecté,"3",2017/01/24 16:06:18,2021/01/31 22:58:36,,,,,Validé,,,,,,,,,
